Pod Number   Feed Number     Probe A Polarization Angle (deg)    Probe B Polarization Angle (deg) 
22  8   -33.978082  56.985846
22  9   42.854552   132.288535
22  10  -44.660525  46.562781
23  1   -38.236945  52.173946
23  2   -42.133061  48.154113
23  3   -41.431842  49.04723
23  4   -34.519596  56.066412
23  5   -28.345754  62.21402
23  6   -32.064637  58.291704
23  7   -42.916394  47.240835
23  8   43.042196   132.676398
23  9   -35.585579  55.094619
23  10  39.259332   129.338419
24  1   -0.288681   90.60147
24  2   17.644921   108.642387
24  3   12.816693   103.771853
24  4   27.001647   117.629759
24  5   -4.150253   86.521356
24  6   2.608403    93.432805
24  7   1.485767    92.540943
24  8   21.687053   112.832633
24  9   29.150936   119.559998
24  10  -25.565118  65.289781
